customer_id,age,gender,city,registration_date,num_transaction,total_spent,avg_transaction,std_transaction,total_items,first_purchase,last_purchase,recency_days,customer_lifetime_days,days_since_registration,is_churned
1,56,M,New York,2023-01-01 00:00:00,6.0,525.2219782378606,87.53699637297677,40.85570085757004,17.0,2023-07-10 14:00:00,2024-07-06 04:00:00,15.0,361.0,567,0
2,69,M,Los Angeles,2023-01-01 06:00:00,1.0,105.10317971166778,105.10317971166778,0.0,4.0,2024-03-06 14:00:00,2024-03-06 14:00:00,137.0,0.0,567,1
3,46,M,Phoenix,2023-01-01 12:00:00,4.0,400.0722632172825,100.01806580432063,84.59799672243334,7.0,2023-09-28 16:00:00,2024-01-10 12:00:00,193.0,103.0,567,1
4,32,F,Phoenix,2023-01-01 18:00:00,3.0,319.893092917549,106.63103097251633,73.34258269381893,9.0,2023-11-04 16:00:00,2024-05-11 18:00:00,70.0,189.0,566,1
5,60,M,Chicago,2023-01-02 00:00:00,4.0,617.8507425869052,154.4626856467263,56.13848690443774,11.0,2023-10-13 22:00:00,2024-04-07 10:00:00,105.0,176.0,566,1
6,25,M,Los Angeles,2023-01-02 06:00:00,6.0,584.5656258708185,97.42760431180308,55.90625303800048,14.0,2023-12-24 12:00:00,2024-04-18 04:00:00,94.0,115.0,566,1
7,38,M,Chicago,2023-01-02 12:00:00,4.0,500.46404798416484,125.11601199604121,80.72028722637313,12.0,2023-08-14 20:00:00,2024-06-11 14:00:00,40.0,301.0,566,0
8,56,F,Los Angeles,2023-01-02 18:00:00,6.0,755.6537441670707,125.94229069451178,57.220544982565066,15.0,2023-06-27 12:00:00,2024-06-01 18:00:00,49.0,340.0,565,0
9,36,F,Chicago,2023-01-03 00:00:00,2.0,103.99549494270053,51.997747471350266,42.75036333880989,4.0,2024-05-06 18:00:00,2024-07-04 22:00:00,16.0,59.0,565,0
10,40,M,Phoenix,2023-01-03 06:00:00,4.0,667.9366403418644,166.9841600854661,55.26196351260486,11.0,2023-09-14 22:00:00,2024-03-21 18:00:00,121.0,188.0,565,1
11,28,M,Phoenix,2023-01-03 12:00:00,2.0,203.94446963942661,101.97223481971331,118.60846052124816,8.0,2023-12-29 14:00:00,2024-02-19 18:00:00,152.0,52.0,565,1
12,28,M,New York,2023-01-03 18:00:00,7.0,931.6240357447899,133.08914796354142,98.15681023217283,18.0,2023-09-16 22:00:00,2024-07-07 00:00:00,14.0,294.0,564,0
13,41,M,Chicago,2023-01-04 00:00:00,8.0,1047.786086386643,130.9732607983304,57.400326578936,16.0,2023-09-03 04:00:00,2024-04-08 14:00:00,104.0,218.0,564,1
14,53,F,Houston,2023-01-04 06:00:00,3.0,153.1061108614623,51.0353702871541,30.360951806449187,5.0,2023-09-15 14:00:00,2024-07-13 20:00:00,7.0,302.0,564,0
15,57,F,New York,2023-01-04 12:00:00,2.0,182.6123589532283,91.30617947661415,6.141479835883657,5.0,2023-10-14 22:00:00,2024-07-05 08:00:00,16.0,264.0,564,0
16,41,F,Chicago,2023-01-04 18:00:00,4.0,312.41686153025626,78.10421538256406,50.20728166018793,12.0,2023-07-02 02:00:00,2024-07-04 14:00:00,17.0,368.0,563,0
17,20,F,Chicago,2023-01-05 00:00:00,5.0,429.38619854764715,85.87723970952943,76.61565105948829,12.0,2023-10-02 04:00:00,2024-04-29 20:00:00,82.0,210.0,563,1
18,39,M,New York,2023-01-05 06:00:00,2.0,156.11548753097298,78.05774376548649,0.2843695606804991,3.0,2023-12-27 20:00:00,2024-02-25 16:00:00,146.0,59.0,563,1
19,19,M,Phoenix,2023-01-05 12:00:00,9.0,938.8237094547683,104.31374549497426,63.809113627369584,26.0,2023-06-03 18:00:00,2024-06-24 00:00:00,27.0,386.0,563,0
